Typical Measured Spectrum of Semrock FF01-586/20 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
476,0	4,6473e-08
476,2	5,069e-08
476,4	5,5289e-08
476,6	6,0306e-08
476,8	6,5778e-08
477,0	7,1747e-08
477,2	7,1495e-08
477,4	7,0834e-08
477,6	7,0179e-08
477,8	6,9531e-08
478,0	6,8888e-08
478,2	6,8251e-08
478,4	6,7621e-08
478,6	6,6996e-08
478,8	6,6376e-08
479,0	6,5763e-08
479,2	6,4615e-08
479,4	6,3393e-08
479,6	6,2195e-08
479,8	6,1019e-08
480,0	5,9866e-08
480,2	5,8734e-08
480,4	5,7624e-08
480,6	5,6534e-08
480,8	5,5466e-08
481,0	5,4417e-08
481,2	5,4009e-08
481,4	5,38e-08
481,6	5,3591e-08
481,8	5,3384e-08
482,0	5,3177e-08
482,2	5,2971e-08
482,4	5,2765e-08
482,6	5,2561e-08
482,8	5,2357e-08
483,0	5,2155e-08
483,2	5,3671e-08
483,4	5,6125e-08
483,6	5,8691e-08
483,8	6,1374e-08
484,0	6,418e-08
484,2	6,7113e-08
484,4	7,0182e-08
484,6	7,339e-08
484,8	7,6745e-08
485,0	8,0253e-08
485,2	7,5945e-08
485,4	7,1867e-08
